geo,time,na_item,values
AT,2013-10-01,HICP_Petrol,338.17
AT,2014-01-01,HICP_Petrol,336.17
AT,2014-04-01,HICP_Petrol,341.75
AT,2014-07-01,HICP_Petrol,344.34
AT,2014-10-01,HICP_Petrol,324.16
AT,2015-01-01,HICP_Petrol,291.98
AT,2015-04-01,HICP_Petrol,316.15
AT,2015-07-01,HICP_Petrol,309.15
AT,2015-10-01,HICP_Petrol,282.73
AT,2016-01-01,HICP_Petrol,264.47
AT,2016-04-01,HICP_Petrol,281.88
AT,2016-07-01,HICP_Petrol,279.06
AT,2016-10-01,HICP_Petrol,286.06
AT,2017-01-01,HICP_Petrol,297.23
AT,2017-04-01,HICP_Petrol,293.64
