"08792: External trade in goods, main figures (NOK million), by trade flow, month and contents"

"trade flow";"month";"Value"
"Exports of ships and oil platforms";"2009M01";1118
"Exports of ships and oil platforms";"2009M02";1154
"Exports of ships and oil platforms";"2009M03";2226
"Exports of ships and oil platforms";"2009M04";940
"Exports of ships and oil platforms";"2009M05";208
"Exports of ships and oil platforms";"2009M06";1369
"Exports of ships and oil platforms";"2009M07";737
"Exports of ships and oil platforms";"2009M08";294
"Exports of ships and oil platforms";"2009M09";390
"Exports of ships and oil platforms";"2009M10";280
"Exports of ships and oil platforms";"2009M11";665
"Exports of ships and oil platforms";"2009M12";949
"Exports of ships and oil platforms";"2010M01";585
"Exports of ships and oil platforms";"2010M02";1775
"Exports of ships and oil platforms";"2010M03";989
"Exports of ships and oil platforms";"2010M04";559
"Exports of ships and oil platforms";"2010M05";50
"Exports of ships and oil platforms";"2010M06";868
"Exports of ships and oil platforms";"2010M07";55
"Exports of ships and oil platforms";"2010M08";361
"Exports of ships and oil platforms";"2010M09";726
"Exports of ships and oil platforms";"2010M10";29
"Exports of ships and oil platforms";"2010M11";163
"Exports of ships and oil platforms";"2010M12";892
"Exports of ships and oil platforms";"2011M01";212
"Exports of ships and oil platforms";"2011M02";863
"Exports of ships and oil platforms";"2011M03";2
"Exports of ships and oil platforms";"2011M04";712
"Exports of ships and oil platforms";"2011M05";885
"Exports of ships and oil platforms";"2011M06";104
"Exports of ships and oil platforms";"2011M07";410
"Exports of ships and oil platforms";"2011M08";1358
"Exports of ships and oil platforms";"2011M09";935
"Exports of ships and oil platforms";"2011M10";158
"Exports of ships and oil platforms";"2011M11";270
"Exports of ships and oil platforms";"2011M12";203
"Exports of ships and oil platforms";"2012M01";220
"Exports of ships and oil platforms";"2012M02";291
"Exports of ships and oil platforms";"2012M03";928
"Exports of ships and oil platforms";"2012M04";454
"Exports of ships and oil platforms";"2012M05";1187
"Exports of ships and oil platforms";"2012M06";389
"Exports of ships and oil platforms";"2012M07";1266
"Exports of ships and oil platforms";"2012M08";92
"Exports of ships and oil platforms";"2012M09";63
"Exports of ships and oil platforms";"2012M10";75
"Exports of ships and oil platforms";"2012M11";213
"Exports of ships and oil platforms";"2012M12";551
"Exports of ships and oil platforms";"2013M01";440
"Exports of ships and oil platforms";"2013M02";415
"Exports of ships and oil platforms";"2013M03";639
"Exports of ships and oil platforms";"2013M04";100
"Exports of ships and oil platforms";"2013M05";612
"Exports of ships and oil platforms";"2013M06";503
"Exports of ships and oil platforms";"2013M07";1310
"Exports of ships and oil platforms";"2013M08";460
"Exports of ships and oil platforms";"2013M09";8
"Exports of ships and oil platforms";"2013M10";538
"Exports of ships and oil platforms";"2013M11";620
"Exports of ships and oil platforms";"2013M12";1349
"Exports of ships and oil platforms";"2014M01";2221
"Exports of ships and oil platforms";"2014M02";1283
"Exports of ships and oil platforms";"2014M03";268
"Exports of ships and oil platforms";"2014M04";540
"Exports of ships and oil platforms";"2014M05";-
"Exports of ships and oil platforms";"2014M06";942
"Exports of ships and oil platforms";"2014M07";184
"Exports of ships and oil platforms";"2014M08";20
"Exports of ships and oil platforms";"2014M09";454
"Exports of ships and oil platforms";"2014M10";127
"Exports of ships and oil platforms";"2014M11";354
"Exports of ships and oil platforms";"2014M12";961
"Exports of ships and oil platforms";"2015M01";730
"Exports of ships and oil platforms";"2015M02";653
"Exports of ships and oil platforms";"2015M03";270
"Exports of ships and oil platforms";"2015M04";949
"Exports of ships and oil platforms";"2015M05";30
"Exports of ships and oil platforms";"2015M06";149
"Exports of ships and oil platforms";"2015M07";964
"Exports of ships and oil platforms";"2015M08";3772
"Exports of ships and oil platforms";"2015M09";3
"Exports of ships and oil platforms";"2015M10";175
"Exports of ships and oil platforms";"2015M11";338
"Exports of ships and oil platforms";"2015M12";905
"Exports of ships and oil platforms";"2016M01";486
"Exports of ships and oil platforms";"2016M02";130
"Exports of ships and oil platforms";"2016M03";63
"Exports of ships and oil platforms";"2016M04";640
"Exports of ships and oil platforms";"2016M05";341
"Exports of ships and oil platforms";"2016M06";1558
"Exports of ships and oil platforms";"2016M07";637
"Exports of ships and oil platforms";"2016M08";795
"Exports of ships and oil platforms";"2016M09";224
"Exports of ships and oil platforms";"2016M10";3263
"Exports of ships and oil platforms";"2016M11";1665
"Exports of ships and oil platforms";"2016M12";2704
"Exports of ships and oil platforms";"2017M01";3771
"Exports of ships and oil platforms";"2017M02";2723
"Exports of ships and oil platforms";"2017M03";2453
"Exports of ships and oil platforms";"2017M04";649
"Exports of ships and oil platforms";"2017M05";449
"Exports of ships and oil platforms";"2017M06";1425
"Exports of ships and oil platforms";"2017M07";-
"Exports of ships and oil platforms";"2017M08";351
"Exports of ships and oil platforms";"2017M09";806
"Exports of ships and oil platforms";"2017M10";157
"Exports of ships and oil platforms";"2017M11";1087
"Exports of ships and oil platforms";"2017M12";424
"Exports of ships and oil platforms";"2018M01";2627
"Exports of ships and oil platforms";"2018M02";91
"Exports of ships and oil platforms";"2018M03";50
"Exports of ships and oil platforms";"2018M04";563
"Exports of ships and oil platforms";"2018M05";1578
"Exports of ships and oil platforms";"2018M06";946
"Exports of ships and oil platforms";"2018M07";502
"Exports of ships and oil platforms";"2018M08";437
"Exports of ships and oil platforms";"2018M09";1461
"Exports of ships and oil platforms";"2018M10";95
"Exports of ships and oil platforms";"2018M11";117
"Exports of ships and oil platforms";"2018M12";34
"Exports of ships and oil platforms";"2019M01";68
"Exports of ships and oil platforms";"2019M02";212
"Exports of ships and oil platforms";"2019M03";394
"Exports of ships and oil platforms";"2019M04";2334
"Exports of ships and oil platforms";"2019M05";86
"Exports of ships and oil platforms";"2019M06";959
"Exports of ships and oil platforms";"2019M07";226
"Exports of ships and oil platforms";"2019M08";27
"Exports of ships and oil platforms";"2019M09";1967
"Exports of ships and oil platforms";"2019M10";180
"Exports of ships and oil platforms";"2019M11";404
"Exports of ships and oil platforms";"2019M12";678
"Exports of ships and oil platforms";"2020M01";79
"Exports of ships and oil platforms";"2020M02";23
"Exports of ships and oil platforms";"2020M03";2139
"Exports of ships and oil platforms";"2020M04";318
"Exports of ships and oil platforms";"2020M05";407
"Exports of ships and oil platforms";"2020M06";300
"Exports of ships and oil platforms";"2020M07";1115
"Exports of ships and oil platforms";"2020M08";410
"Exports of ships and oil platforms";"2020M09";282
"Exports of ships and oil platforms";"2020M10";288
"Exports of ships and oil platforms";"2020M11";0
"Exports of ships and oil platforms";"2020M12";35
"Exports of ships and oil platforms";"2021M01";0
"Exports of ships and oil platforms";"2021M02";659
"Exports of ships and oil platforms";"2021M03";65
"Exports of ships and oil platforms";"2021M04";349
"Exports of ships and oil platforms";"2021M05";86
"Exports of ships and oil platforms";"2021M06";1902
"Exports of ships and oil platforms";"2021M07";3232
"Exports of ships and oil platforms";"2021M08";704
"Exports of ships and oil platforms";"2021M09";1519
"Exports of ships and oil platforms";"2021M10";224
"Exports of ships and oil platforms";"2021M11";4
