time,na_item,values,geo
2024-01-01,HICPlocal,122.06666666666666,FR
2024-04-01,HICPlocal,123.59333333333332,FR
2024-07-01,HICPlocal,123.98333333333332,FR
2024-10-01,HICPlocal,123.50666666666667,FR
1996-04-01,Inflation,0.8234504363392209,FR
1996-07-01,Inflation,-0.24412978827289775,FR
1996-10-01,Inflation,0.4316098602829995,FR
1997-01-01,Inflation,0.5272252004784828,FR
1997-04-01,Inflation,0.24680475980608305,FR
1997-07-01,Inflation,0.14947683109117613,FR
1997-10-01,Inflation,0.2809482001755991,FR
1998-01-01,Inflation,0.03064261950622553,FR
1998-04-01,Inflation,0.5470220121657757,FR
1998-07-01,Inflation,-0.2002089136490285,FR
1998-10-01,Inflation,-0.05233318796337494,FR
1999-01-01,Inflation,0.04363382494109185,FR
1999-04-01,Inflation,0.6367759944173036,FR
1999-07-01,Inflation,-0.1256825864609483,FR
1999-10-01,Inflation,0.4729876328921629,FR
2000-01-01,Inflation,0.5787336961216282,FR
2000-04-01,Inflation,0.6054620405358969,FR
2000-07-01,Inflation,0.39267574373640185,FR
2000-10-01,Inflation,0.4804217507759005,FR
2001-01-01,Inflation,-0.04654311585005833,FR
2001-04-01,Inflation,1.3927104940100898,FR
2001-07-01,Inflation,0.10437541750166408,FR
2001-10-01,Inflation,0.06673061684114986,FR
2002-01-01,Inflation,0.704372108531654,FR
2002-04-01,Inflation,0.8070523963247969,FR
2002-07-01,Inflation,0.13959026152645615,FR
2002-10-01,Inflation,0.393587798778247,FR
2003-01-01,Inflation,0.963776697839664,FR
2003-04-01,Inflation,0.4004368401892953,FR
2003-07-01,Inflation,0.30215131737974377,FR
2003-10-01,Inflation,0.694862834879706,FR
2004-01-01,Inflation,0.5903470283207093,FR
2004-04-01,Inflation,1.007217067174237,FR
2004-07-01,Inflation,0.1531092964824067,FR
2004-10-01,Inflation,0.4899847124769763,FR
2005-01-01,Inflation,0.21454205024185183,FR
2005-04-01,Inflation,0.9458565256315468,FR
2005-07-01,Inflation,0.3586026066167826,FR
2005-10-01,Inflation,0.31505744035041366,FR
2006-01-01,Inflation,0.3370485273277451,FR
